wl,n,k
14.899,1.5790200,4.680000E-02
15.072,1.5789800,4.000000E-02
15.25,1.5774400,2.850000E-02
15.431,1.5657200,1.970000E-02
15.617,1.5505400,1.940000E-02
15.808,1.5395700,2.160000E-02
16.003,1.5324900,2.070000E-02
16.203,1.5249100,1.860000E-02
16.408,1.5175800,2.120000E-02
16.618,1.5161200,2.410000E-02
16.834,1.5122500,2.320000E-02
17.056,1.5064200,2.410000E-02
17.283,1.5033600,3.070000E-02
17.517,1.5003800,3.560000E-02
17.757,1.4976400,3.870000E-02
18.003,1.5000100,3.990000E-02
18.257,1.5008000,4.020000E-02
18.518,1.4935000,4.260000E-02
18.786,1.4902500,4.380000E-02
19.062,1.4925400,4.410000E-02
19.347,1.4905600,4.570000E-02
19.64,1.4853300,4.470000E-02
19.942,1.4805100,4.200000E-02
