wl,n,k
0.8930000000,4.4337920000,0.0042838330
0.8940000000,4.4321890000,0.0042210070
0.8950000000,4.4305960000,0.0041588520
0.8960000000,4.4290110000,0.0040973620
0.8970000000,4.4274350000,0.0040365320
0.8980000000,4.4258680000,0.0039763580
0.8990000000,4.4243100000,0.0039168340
0.9000000000,4.4227610000,0.0038579560
0.9010000000,4.4212210000,0.0037997190
0.9020000000,4.4196890000,0.0037421180
0.9030000000,4.4181660000,0.0036851490
0.9040000000,4.4166510000,0.0036288070
0.9050000000,4.4151440000,0.0035730870
0.9060000000,4.4136460000,0.0035179860
0.9070000000,4.4121560000,0.0034634970
0.9080000000,4.4106750000,0.0034096180
0.9090000000,4.4092010000,0.0033563440
0.9100000000,4.4077360000,0.0033036690
0.9110000000,4.4062780000,0.0032515910
0.9120000000,4.4048290000,0.0032001050
0.9130000000,4.4033870000,0.0031492060
0.9140000000,4.4019530000,0.0030988900
0.9150000000,4.4005260000,0.0030491540
0.9160000000,4.3991080000,0.0029999930
0.9170000000,4.3976970000,0.0029514030
0.9180000000,4.3962930000,0.0029033800
0.9190000000,4.3948970000,0.0028559200
0.9200000000,4.3935080000,0.0028090200
0.9210000000,4.3921270000,0.0027626740
0.9220000000,4.3907520000,0.0027168810
0.9230000000,4.3893860000,0.0026716340
0.9240000000,4.3880260000,0.0026269320
0.9250000000,4.3866730000,0.0025827700
0.9260000000,4.3853280000,0.0025391440
0.9270000000,4.3839890000,0.0024960510
0.9280000000,4.3826570000,0.0024534870
0.9290000000,4.3813320000,0.0024114490
0.9300000000,4.3800140000,0.0023699320
0.9310000000,4.3787030000,0.0023289340
0.9320000000,4.3773990000,0.0022884510
0.9330000000,4.3761010000,0.0022484790
0.9340000000,4.3748100000,0.0022090150
0.9350000000,4.3735250000,0.0021700550
0.9360000000,4.3722470000,0.0021315970
0.9370000000,4.3709750000,0.0020936370
0.9380000000,4.3697100000,0.0020561710
0.9390000000,4.3684510000,0.0020191960
0.9400000000,4.3671980000,0.0019827100
0.9410000000,4.3659520000,0.0019467080
0.9420000000,4.3647120000,0.0019111870
0.9430000000,4.3634780000,0.0018761450
0.9440000000,4.3622500000,0.0018415790
0.9450000000,4.3610280000,0.0018074840
0.9460000000,4.3598130000,0.0017738590
0.9470000000,4.3586030000,0.0017407000
0.9480000000,4.3573990000,0.0017080040
0.9490000000,4.3562010000,0.0016757670
0.9500000000,4.3550090000,0.0016439880
0.9510000000,4.3538230000,0.0016126630
0.9520000000,4.3526430000,0.0015817890
0.9530000000,4.3514680000,0.0015513640
0.9540000000,4.3502990000,0.0015213840
0.9550000000,4.3491360000,0.0014918470
0.9560000000,4.3479790000,0.0014627490
0.9570000000,4.3468260000,0.0014340890
0.9580000000,4.3456800000,0.0014058630
0.9590000000,4.3445390000,0.0013780680
0.9600000000,4.3434030000,0.0013507020
0.9610000000,4.3422730000,0.0013237630
0.9620000000,4.3411480000,0.0012972470
0.9630000000,4.3400290000,0.0012711510
